INFO | Loading clean dataset
INFO | step 1270 epoch 4 loss=0.5929 elapsed=374s
INFO | step 1280 epoch 4 loss=0.4178 elapsed=376s
INFO | step 1290 epoch 4 loss=0.6045 elapsed=378s
INFO | step 1300 epoch 4 loss=0.9213 elapsed=380s
INFO | step 1310 epoch 4 loss=0.5842 elapsed=382s
INFO | step 1320 epoch 4 loss=0.5916 elapsed=384s
INFO | step 1330 epoch 4 loss=0.5642 elapsed=386s
INFO | step 1340 epoch 4 loss=0.4536 elapsed=388s
INFO | step 1350 epoch 4 loss=0.8417 elapsed=390s
INFO | step 1360 epoch 4 loss=0.6179 elapsed=392s
INFO | step 1370 epoch 4 loss=0.9092 elapsed=396s
INFO | step 1380 epoch 4 loss=0.8022 elapsed=398s
INFO | step 1390 epoch 4 loss=0.6935 elapsed=400s
INFO | step 1400 epoch 4 loss=0.6409 elapsed=403s
INFO | step 1410 epoch 4 loss=1.4287 elapsed=405s
INFO | step 1420 epoch 4 loss=1.0729 elapsed=407s
INFO | step 1430 epoch 4 loss=1.4794 elapsed=409s
INFO | step 1440 epoch 4 loss=1.0905 elapsed=411s
INFO | step 1450 epoch 4 loss=0.4816 elapsed=413s
INFO | step 1460 epoch 4 loss=0.5303 elapsed=415s
INFO | step 1470 epoch 4 loss=1.0916 elapsed=418s
INFO | step 1480 epoch 4 loss=0.3930 elapsed=420s
INFO | step 1490 epoch 4 loss=0.2752 elapsed=422s
INFO | step 1500 epoch 4 loss=0.6912 elapsed=424s
INFO | step 1510 epoch 4 loss=0.8772 elapsed=428s
INFO | step 1520 epoch 4 loss=1.2087 elapsed=430s
INFO | step 1530 epoch 4 loss=0.8697 elapsed=433s
INFO | step 1540 epoch 4 loss=0.9175 elapsed=435s
INFO | step 1550 epoch 4 loss=0.3717 elapsed=437s
INFO | epoch 4 done  val_log_mse=1.3807  ood_log_mse=5.8146  elapsed=438s
INFO | Saved /Users/jreddy/electrolyte_formation_sim/conductivity/fm_data/checkpoints/epoch_004.pkl
INFO | step 1560 epoch 5 loss=1.0661 elapsed=440s
INFO | step 1570 epoch 5 loss=0.4179 elapsed=442s
INFO | step 1580 epoch 5 loss=0.2930 elapsed=444s
INFO | step 1590 epoch 5 loss=0.6792 elapsed=446s
INFO | step 1600 epoch 5 loss=0.8888 elapsed=448s
INFO | step 1610 epoch 5 loss=0.3231 elapsed=450s
INFO | step 1620 epoch 5 loss=0.5718 elapsed=452s
INFO | step 1630 epoch 5 loss=1.0343 elapsed=454s
INFO | step 1640 epoch 5 loss=0.6983 elapsed=456s
INFO | step 1650 epoch 5 loss=0.9145 elapsed=458s
INFO | step 1660 epoch 5 loss=0.5809 elapsed=460s
INFO | step 1670 epoch 5 loss=0.7493 elapsed=462s
INFO | step 1680 epoch 5 loss=1.0047 elapsed=465s
INFO | step 1690 epoch 5 loss=0.4819 elapsed=467s
INFO | step 1700 epoch 5 loss=0.4698 elapsed=469s
INFO | step 1710 epoch 5 loss=0.7414 elapsed=471s
INFO | step 1720 epoch 5 loss=0.1999 elapsed=473s
INFO | step 1730 epoch 5 loss=0.7493 elapsed=475s
INFO | step 1740 epoch 5 loss=0.6636 elapsed=477s
INFO | step 1750 epoch 5 loss=0.7322 elapsed=480s
INFO | step 1760 epoch 5 loss=0.4159 elapsed=482s
INFO | step 1770 epoch 5 loss=0.4027 elapsed=484s
INFO | step 1780 epoch 5 loss=0.3112 elapsed=486s
INFO | step 1790 epoch 5 loss=0.6178 elapsed=488s
INFO | step 1800 epoch 5 loss=0.4648 elapsed=490s
INFO | step 1810 epoch 5 loss=0.3480 elapsed=493s
INFO | step 1820 epoch 5 loss=0.6269 elapsed=495s
INFO | step 1830 epoch 5 loss=0.5200 elapsed=498s
INFO | step 1840 epoch 5 loss=0.4736 elapsed=501s
INFO | step 1850 epoch 5 loss=0.5429 elapsed=504s
INFO | step 1860 epoch 5 loss=0.3206 elapsed=506s
INFO | epoch 5 done  val_log_mse=1.6065  ood_log_mse=6.0931  elapsed=508s
INFO | Saved /Users/jreddy/electrolyte_formation_sim/conductivity/fm_data/checkpoints/epoch_005.pkl
INFO | step 1870 epoch 6 loss=0.4783 elapsed=511s
INFO | step 1880 epoch 6 loss=0.9878 elapsed=513s
INFO | step 1890 epoch 6 loss=0.5448 elapsed=516s
INFO | step 1900 epoch 6 loss=0.2970 elapsed=519s
INFO | step 1910 epoch 6 loss=0.7656 elapsed=522s
INFO | step 1920 epoch 6 loss=0.4560 elapsed=525s
INFO | step 1930 epoch 6 loss=0.3153 elapsed=529s
INFO | step 1940 epoch 6 loss=0.4058 elapsed=531s
INFO | step 1950 epoch 6 loss=0.6557 elapsed=534s
INFO | step 1960 epoch 6 loss=0.3794 elapsed=537s
INFO | step 1970 epoch 6 loss=0.3874 elapsed=541s
INFO | step 1980 epoch 6 loss=0.3623 elapsed=544s
INFO | step 1990 epoch 6 loss=1.6844 elapsed=547s
INFO | step 2000 epoch 6 loss=0.7593 elapsed=551s
INFO | step 2010 epoch 6 loss=1.3145 elapsed=554s
INFO | step 2020 epoch 6 loss=0.8504 elapsed=558s
INFO | step 2030 epoch 6 loss=0.5502 elapsed=561s
INFO | step 2040 epoch 6 loss=0.7949 elapsed=564s
INFO | step 2050 epoch 6 loss=0.5046 elapsed=568s
INFO | step 2060 epoch 6 loss=0.5301 elapsed=572s
INFO | step 2070 epoch 6 loss=0.5701 elapsed=575s
INFO | step 2080 epoch 6 loss=0.4590 elapsed=579s
INFO | step 2090 epoch 6 loss=0.3123 elapsed=582s
INFO | step 2100 epoch 6 loss=0.3187 elapsed=586s
INFO | step 2110 epoch 6 loss=0.3893 elapsed=590s
INFO | step 2120 epoch 6 loss=0.7519 elapsed=593s
INFO | step 2130 epoch 6 loss=0.7934 elapsed=597s
INFO | step 2140 epoch 6 loss=0.5395 elapsed=600s
INFO | step 2150 epoch 6 loss=0.5178 elapsed=603s
INFO | step 2160 epoch 6 loss=0.3974 elapsed=607s
INFO | step 2170 epoch 6 loss=0.3261 elapsed=612s
INFO | epoch 6 done  val_log_mse=1.0942  ood_log_mse=5.3379  elapsed=614s
INFO | Saved /Users/jreddy/electrolyte_formation_sim/conductivity/fm_data/checkpoints/epoch_006.pkl
INFO | step 2180 epoch 7 loss=0.5820 elapsed=617s
INFO | step 2190 epoch 7 loss=0.3111 elapsed=621s
INFO | step 2200 epoch 7 loss=0.8452 elapsed=624s
INFO | step 2210 epoch 7 loss=0.5359 elapsed=627s
INFO | step 2220 epoch 7 loss=0.2847 elapsed=630s
INFO | step 2230 epoch 7 loss=1.7035 elapsed=634s
INFO | step 2240 epoch 7 loss=1.2370 elapsed=637s
INFO | step 2250 epoch 7 loss=0.9174 elapsed=640s
INFO | step 2260 epoch 7 loss=0.6245 elapsed=643s
INFO | step 2270 epoch 7 loss=0.9080 elapsed=646s
INFO | step 2280 epoch 7 loss=0.8163 elapsed=649s
INFO | step 2290 epoch 7 loss=0.5132 elapsed=653s
INFO | step 2300 epoch 7 loss=0.3865 elapsed=656s
INFO | step 2310 epoch 7 loss=0.6114 elapsed=659s
INFO | step 2320 epoch 7 loss=0.3636 elapsed=663s
INFO | step 2330 epoch 7 loss=0.6705 elapsed=667s
INFO | step 2340 epoch 7 loss=0.5319 elapsed=670s
INFO | step 2350 epoch 7 loss=0.5797 elapsed=673s
INFO | step 2360 epoch 7 loss=0.3388 elapsed=677s
INFO | step 2370 epoch 7 loss=0.3919 elapsed=680s
INFO | step 2380 epoch 7 loss=0.4374 elapsed=683s
INFO | step 2390 epoch 7 loss=0.9138 elapsed=686s
INFO | step 2400 epoch 7 loss=0.4949 elapsed=689s
INFO | step 2410 epoch 7 loss=0.3635 elapsed=692s
INFO | step 2420 epoch 7 loss=0.9929 elapsed=696s
INFO | step 2430 epoch 7 loss=0.2221 elapsed=700s
INFO | step 2440 epoch 7 loss=0.2839 elapsed=704s
INFO | step 2450 epoch 7 loss=0.5999 elapsed=707s
INFO | step 2460 epoch 7 loss=0.6786 elapsed=710s
INFO | step 2470 epoch 7 loss=0.2114 elapsed=713s
INFO | step 2480 epoch 7 loss=0.3809 elapsed=716s
INFO | epoch 7 done  val_log_mse=0.8643  ood_log_mse=5.4326  elapsed=718s
INFO | Saved /Users/jreddy/electrolyte_formation_sim/conductivity/fm_data/checkpoints/epoch_007.pkl
INFO | step 2490 epoch 8 loss=0.3562 elapsed=721s
INFO | step 2500 epoch 8 loss=0.2888 elapsed=724s
INFO | step 2510 epoch 8 loss=1.3841 elapsed=728s
INFO | step 2520 epoch 8 loss=0.8616 elapsed=731s
INFO | step 2530 epoch 8 loss=0.3873 elapsed=734s
INFO | step 2540 epoch 8 loss=0.3262 elapsed=737s
INFO | step 2550 epoch 8 loss=1.0000 elapsed=741s
INFO | step 2560 epoch 8 loss=0.5369 elapsed=744s
INFO | step 2570 epoch 8 loss=0.4452 elapsed=747s
INFO | step 2580 epoch 8 loss=0.5925 elapsed=751s
INFO | step 2590 epoch 8 loss=0.8472 elapsed=755s
INFO | step 2600 epoch 8 loss=0.2570 elapsed=760s
INFO | step 2610 epoch 8 loss=0.3935 elapsed=763s
INFO | step 2620 epoch 8 loss=0.7570 elapsed=766s
INFO | step 2630 epoch 8 loss=0.5518 elapsed=770s
